id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
3970,2016-12-03,25,3010,James,Collins,D,Centre Central Defender
3971,2016-12-03,1,4714,Mesut,Özil,M,Centre/Right Attacking Midfielder
3972,2016-12-03,1,10423,Gabriel Armando,de Abreu,D,Centre Central Defender
3973,2016-12-03,1,12136,Granit,Xhaka,M,Centre Central Midfielder
3974,2016-12-03,1,4030,Laurent,Koscielny,D,Centre Central Defender
3975,2016-12-03,1,4252,Alex,Oxlade-Chamberlain,M,Right Winger
3976,2016-12-03,1,2651,Petr,Cech,G,Goalkeeper
3977,2016-12-03,1,4973,Alexis,Sánchez,F,Left/Right Second Striker
3978,2016-12-03,1,3869,Shkodran,Mustafi,D,Centre/Right Central Defender
3979,2016-12-03,1,2839,Theo,Walcott,F,Centre/Right Second Striker
3980,2016-12-03,1,3549,Francis,Coquelin,M,Centre Defensive Midfielder
3981,2016-12-03,1,4472,Ignacio,Monreal,D,Left Full Back
3982,2016-11-27,33,3765,Valon,Behrami,M,Centre/Right Central Midfielder
3983,2016-11-27,33,4843,Etienne,Capoue,M,Centre Defensive Midfielder
3984,2016-11-27,33,3508,Younes,Kaboul,D,Centre Central Defender
3985,2016-11-27,33,5490,Nordin,Amrabat,M,Left/Centre/Right Attacking Midfielder
3986,2016-11-27,33,3719,Heurelho,da Silva Gomes,G,Goalkeeper
3987,2016-11-27,33,11213,Roberto,Pereyra,M,Left/Centre/Right Central Midfielder
3988,2016-11-27,33,5713,José,Holebas,D,Left Full Back
3989,2016-11-27,33,13822,Sebastian,Prödl,D,Centre Central Defender
3990,2016-11-27,33,10480,Daryl,Janmaat,D,Right Full Back
3991,2016-11-27,33,9947,Troy,Deeney,F,Centre Striker
3992,2016-11-27,33,5668,Miguel,Britos,D,Left/Centre Central Defender
3993,2016-11-27,42,4823,Marko,Arnautovic,F,Left/Right Second Striker
3994,2016-11-27,42,4821,Erik,Pieters,D,Left Full Back
3995,2016-11-27,42,11177,Bruno,Martins Indi,D,Left/Centre Central Defender
3996,2016-11-27,42,5588,Giannelli,Imbula,M,Centre Defensive Midfielder
3997,2016-11-27,42,2148,Glen,Johnson,D,Left/Right Full Back
3998,2016-11-27,42,3925,Mame Biram,Diouf,F,Centre Striker
3999,2016-11-27,42,2047,Jonathan,Walters,F,Left/Centre/Right Second Striker
4000,2016-11-27,42,4081,Charlie,Adam,M,Left/Centre Central Midfielder
4001,2016-11-27,42,5267,Xherdan,Shaqiri,M,Centre/Right Attacking Midfielder
4002,2016-11-27,42,1870,Lee,Grant,G,Goalkeeper
4003,2016-11-27,42,4822,Marc,Muniesa,D,Left/Centre Central Defender
4004,2016-11-27,1,4973,Alexis,Sánchez,F,Left/Right Second Striker
4005,2016-11-27,1,2651,Petr,Cech,G,Goalkeeper
4006,2016-11-27,1,4714,Mesut,Özil,M,Centre/Right Attacking Midfielder
4007,2016-11-27,1,4030,Laurent,Koscielny,D,Centre Central Defender
4008,2016-11-27,1,4546,Mathieu,Debuchy,D,Right Full Back
4009,2016-11-27,1,4472,Ignacio,Monreal,D,Left Full Back
4010,2016-11-27,1,5239,Mohamed Naser,El Sayed Elneny,M,Centre Defensive Midfielder
4011,2016-11-27,1,2839,Theo,Walcott,F,Centre/Right Second Striker
4012,2016-11-27,1,12136,Granit,Xhaka,M,Centre Central Midfielder
4013,2016-11-27,1,3869,Shkodran,Mustafi,D,Centre/Right Central Defender
4014,2016-11-27,1,4252,Alex,Oxlade-Chamberlain,M,Right Winger
4015,2016-11-27,127,3926,Joshua,King,F,Centre/Right Second Striker
4016,2016-11-27,127,3182,Adam,Federici,G,Goalkeeper
4017,2016-11-27,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
4018,2016-11-27,127,9030,Brad,Smith,D,Left Full Back
4019,2016-11-27,127,4499,Nathan,Aké,D,Left/Centre Central Defender
4020,2016-11-27,127,8050,Harry,Arter,M,Centre Central Midfielder
4021,2016-11-27,127,8454,Callum,Wilson,F,Centre Striker
4022,2016-11-27,127,8044,Simon,Francis,D,Centre/Right Central Defender
4023,2016-11-27,127,3512,Adam,Smith,D,Right Full Back
4024,2016-11-27,127,3390,Dan,Gosling,M,Centre/Right Central Midfielder
4025,2016-11-27,127,3766,Junior,Stanislas,M,Left/Right Winger
4026,2016-11-27,12,4337,Jesse,Lingard,M,Left/Centre/Right Attacking Midfielder
4027,2016-11-27,12,3285,Luis Antonio,Valencia,D,Right Full Back
4028,2016-11-27,12,5772,Zlatan,Ibrahimovic,F,Centre Striker
4029,2016-11-27,12,10472,Marcos,Rojo,D,Left/Centre Full Back
4030,2016-11-27,12,12854,Matteo,Darmian,D,Left/Right Full Back
4031,2016-11-27,12,13565,Marcus,Rashford,F,Left/Centre Second Striker
4032,2016-11-27,12,4287,Juan,Mata,M,Left/Centre/Right Attacking Midfielder
4033,2016-11-27,12,10475,Ander,Herrera,M,Centre Central Midfielder
4034,2016-11-27,12,4330,David,de Gea,G,Goalkeeper
4035,2016-11-27,12,3820,Phil,Jones,D,Centre Central Defender
4036,2016-11-27,12,3920,Paul,Pogba,M,Centre Central Midfielder
4037,2016-11-27,25,3010,James,Collins,D,Centre Central Defender
4038,2016-11-27,25,13871,Pedro,Obiang,M,Left/Centre Central Midfielder
4039,2016-11-27,25,2216,Darren,Randolph,G,Goalkeeper
4040,2016-11-27,25,8897,Aaron,Cresswell,D,Left Full Back
4041,2016-11-27,25,9595,Michail,Antonio,F,Left/Centre/Right Striker
4042,2016-11-27,25,5514,Angelo,Ogbonna,D,Left/Centre Central Defender
4043,2016-11-27,25,3014,Mark,Noble,M,Centre Central Midfielder
4044,2016-11-27,25,5861,Cheikhou,Kouyaté,M,Centre Central Midfielder
4045,2016-11-27,25,5586,Dimitri,Payet,M,Left/Centre/Right Attacking Midfielder
4046,2016-11-27,25,13872,Manuel,Lanzini,M,Left/Centre/Right Attacking Midfielder
4047,2016-11-27,25,10540,Diafra,Sakho,F,Centre Striker
4048,2016-11-27,20,11347,Cédric Ricardo,Alves Soares,D,Right Full Back
4049,2016-11-27,20,5272,Pierre-Emile,Højbjerg,M,Centre Central Midfielder
4050,2016-11-27,20,15374,Josh,Sims,M,Midfielder
4051,2016-11-27,20,3170,Fraser,Forster,G,Goalkeeper
4052,2016-11-27,20,3811,Nathan,Redmond,M,Left/Right Winger
4053,2016-11-27,20,4606,José Miguel,da Rocha Fonte,D,Centre Central Defender
4054,2016-11-27,20,9468,Charlie,Austin,F,Centre Striker
4055,2016-11-27,20,4286,Oriol,Romeu,M,Centre Defensive Midfielder
4056,2016-11-27,20,2886,Ryan,Bertrand,D,Left Full Back
4057,2016-11-27,20,5140,Virgil,van Dijk,D,Centre Central Defender
4058,2016-11-27,20,4617,James,Ward-Prowse,M,Centre Central Midfielder
4059,2016-11-27,7,4115,Ross,Barkley,M,Left/Centre/Right Attacking Midfielder
4060,2016-11-27,7,4290,Romelu,Lukaku,F,Centre Striker
4061,2016-11-27,7,3600,Séamus,Coleman,D,Right Full Back
4062,2016-11-27,7,3222,Phil,Jagielka,D,Centre Central Defender
4063,2016-11-27,7,3030,Leighton,Baines,D,Left Full Back
4064,2016-11-27,7,4779,Maarten,Stekelenburg,G,Goalkeeper
4065,2016-11-27,7,4763,Yannick,Bolasie,F,Left/Right Winger
4066,2016-11-27,7,12582,Idrissa,Gueye,M,Centre Defensive Midfielder
4067,2016-11-27,7,4403,Ashley,Williams,D,Centre Central Defender
4068,2016-11-27,7,2270,Aaron,Lennon,M,Right Winger
4069,2016-11-27,7,1308,Gareth,Barry,M,Centre Central Midfielder
4070,2016-11-26,43,4487,Matthew,Lowton,D,Right Full Back
4071,2016-11-26,43,4333,Michael,Keane,D,Centre Central Defender
4072,2016-11-26,43,5345,Steven,Defour,M,Centre Central Midfielder
4073,2016-11-26,43,4007,Sam,Vokes,F,Centre Striker
4074,2016-11-26,43,2359,Dean,Marney,M,Centre Central Midfielder
4075,2016-11-26,43,1404,Paul,Robinson,G,Goalkeeper
4076,2016-11-26,43,3909,Ben,Mee,D,Left/Centre Central Defender
4077,2016-11-26,43,8586,Jeff,Hendrick,M,Centre Central Midfielder
4078,2016-11-26,43,4788,George,Boyd,M,Winger
4079,2016-11-26,43,6210,Jóhann,Gudmundsson,M,Left Winger
4080,2016-11-26,43,3999,Stephen,Ward,D,Left Full Back
4081,2016-11-26,11,4141,Aleksandar,Kolarov,D,Left Full Back
4082,2016-11-26,11,4804,Fernando,Luiz Rosa,M,Centre Defensive Midfielder
4083,2016-11-26,11,5810,Claudio,Bravo,G,Goalkeeper
4084,2016-11-26,11,2413,Gaël,Clichy,D,Left Full Back
4085,2016-11-26,11,6058,Nicolás,Otamendi,D,Centre Central Defender
4086,2016-11-26,11,3311,Bacary,Sagna,D,Right Full Back
4087,2016-11-26,11,19604,Manuel,Agudo Durán,F,Left Winger
4088,2016-11-26,11,4328,Sergio,Agüero,F,Centre Striker
4089,2016-11-26,11,4316,Raheem,Sterling,F,Left/Centre/Right Second Striker
4090,2016-11-26,11,4148,Yaya,Touré,M,Centre Central Midfielder
4091,2016-11-26,11,5344,Fernando Francisco,Reges,M,Centre Defensive Midfielder
4092,2016-11-26,41,2805,Michael,Dawson,D,Centre Central Defender
4093,2016-11-26,41,9100,Sam,Clucas,M,Left Winger
4094,2016-11-26,41,4726,David,Marshall,G,Goalkeeper
4095,2016-11-26,41,4558,Robert,Snodgrass,M,Left/Right Attacking Midfielder
4096,2016-11-26,41,3244,Jake,Livermore,M,Centre Central Midfielder
4097,2016-11-26,41,2997,Curtis,Davies,D,Centre Central Defender
4098,2016-11-26,41,6393,Dieumerci,Mbokani,F,Centre Striker
4099,2016-11-26,41,13477,Josh,Tymon,D,Left Full Back
4100,2016-11-26,41,4183,Ahmed Eissa,El Mohamady Abdel Fattah,D,Right Wing Back
4101,2016-11-26,41,3725,Ryan,Mason,M,Centre Central Midfielder
4102,2016-11-26,41,6204,Markus,Henriksen,M,Centre Central Midfielder
4103,2016-11-26,36,6030,Salomón,Rondón,F,Centre Striker
4104,2016-11-26,36,3156,Jonny,Evans,D,Centre Central Defender
4105,2016-11-26,36,4673,Claudio,Yacob,M,Centre Defensive Midfielder
4106,2016-11-26,36,2529,James,Morrison,M,Right Winger
4107,2016-11-26,36,4074,Matt,Phillips,M,Left/Right Winger
4108,2016-11-26,36,1943,Darren,Fletcher,M,Centre Central Midfielder
4109,2016-11-26,36,4437,Gareth,McAuley,D,Centre Central Defender
4110,2016-11-26,36,3744,Chris,Brunt,M,Left Attacking Midfielder
4111,2016-11-26,36,2932,Ben,Foster,G,Goalkeeper
4112,2016-11-26,36,4198,Craig,Dawson,D,Centre Central Defender
4113,2016-11-26,36,13821,Allan-Roméo,Nyom,D,Right Full Back
4114,2016-11-26,26,3564,Marc,Albrighton,M,Left/Right Winger
